Regn Prefix,Old Prefix,Country Name,Period,Remarks,has_dash,clean_prefix,reg_format
XU-,"F-KH, KW-",Cambodia,1979-,Formerly Kampuchea,1,XU,ANY
XY-,,Myanmar,1948-,,1,XY,ANY
XZ-,,Myanmar,,,1,XZ,ANY
YA-,,Afghanistan,1929-,,1,YA,ANY
YI-,,Iraq,1931-,,1,YI,ANY
YJ-,,Vanuatu,1929-,,1,YJ,ANY
YK-,,Syria,1952-,,1,YK,ANY
YL-,,Latvia,,,1,YL,ANY
YN-,AN-,Nicaragua,,,1,YN,ANY
YR-,CV-,Romania,1936-,,1,YR,ANY
YS-,,El Salvador,1939-,,1,YS,ANY
YU-,UN-,Serbria,1935-,"Formerly Yugoslavia, then Formerly Serbia and Montenegro",1,YU,ANY
YV,,Venezuela,1931-,,0,YV,ANY
Z-,"VP-W, VP-Y",Zimbabwe,,,1,Z,ANY
Z3-,,Macedonia,,,1,Z3,ANY
ZA-,,Albania,1946-,,1,ZA,ANY
ZJ-,,Jersey,2015-,,1,ZJ,ANY
ZK-,,New Zealand,1929-,,1,ZK,ANY
ZL-,,New Zealand,,,1,ZL,ANY
ZP-,,Paraguay,1929-,,1,ZP,ANY
ZS-,,South Africa,1929-,,1,ZS,ANY
ZT-,,South Africa,,,1,ZT,ANY
ZU-,,South Africa,,,1,ZU,ANY
2-,,Guernsey,2013-,,1,2,ANY
3A-,"CZ, MC",Monaco,1959-,,1,3A,ANY
3B-,VQ-M,Mauritius,1968-,,1,3B,ANY
3C-,VQ-ZI,Equatorial Guinea,1975-,,1,3C,ANY
3D-,,Swaziland,1975-,,1,3D,ANY
3X-,F-O,Guinea,1958-,,1,3X,ANY
4K-,,Azerbaijan,,,1,4K,ANY
4L-,,Georgia,,,1,4L,ANY
4O-,,Montenegro,2008-,,1,4O,ANY
4R-,"VP-C, CY-",Sri Lanka,1954-,,1,4R,ANY
4X-,,Israel,1948,,1,4X,ANY
5A-,,Libya,1951-,,1,5A,ANY
5B-,VQ-C,Cyprus,1960-,,1,5B,ANY
5H-,VP-Z,Tanzania,1964-,,1,5H,ANY
5N-,VR-N,Nigeria,1961-,,1,5N,ANY
5R-,F-O,Madagascar,1960-,,1,5R,ANY
5T-,F-O,Mauritania,1960-,,1,5T,ANY
5U-,F-O,Niger,1960-,,1,5U,ANY
5V-,,Togo,1976-,,1,5V,ANY
5W-,,Samoa,1962-,,1,5W,ANY
5X-,VP-U,Uganda,1962-,,1,5X,ANY
5Y-,VP-K,Kenya,1963-,,1,5Y,ANY
6O-,6OS-,Somalia,1969-,,1,6O,ANY
6V-,F-O,Senegal,1960-,,1,6V,ANY
6W-,,Senegal,1960-,(Military),1,6W,ANY
6Y-,VP-J,Jamaica,1964-,,1,6Y,ANY
7O-,"YE-, 4W-",Yemen,1974-,,1,7O,ANY
7P-,"VQ-ZA,-ZD",Lesotho,1967-,,1,7P,ANY
7Q-,VP-Y,Malawi,1964-,,1,7Q,ANY
7T-,F-O,Algeria,1962-,,1,7T,ANY
8P-,VQ-B,Barbados,1968-,,1,8P,ANY
8Q-,,Maldives,1976-,,1,8Q,ANY
8R-,VP-G,Guyana,1967-,,1,8R,ANY
9A-,RC-,Croatia,,,1,9A,ANY
9G-,VP-A,Ghana,1957-,,1,9G,ANY
9H-,VP-M,Malta,1968-,,1,9H,ANY
9J-,VP-Y,Zambia,1964-,,1,9J,ANY
9K-,K-,Kuwait,1961-,,1,9K,ANY
9L-,VR-L,Sierra Leone,1961,,1,9L,ANY
9M-,"VR-J, VR-O, VR-R",Malaysia,1963-,,1,9M,ANY
9N-,,Nepal,1961-,,1,9N,ANY
9Q-,9O-,Zaire,1966-,,1,9Q,ANY
9U-,BR-,Burundi,1962-,,1,9U,ANY
9V-,VR-S,Singapore,1970-,,1,9V,ANY
9XR-,,Rwanda,1962,,1,9XR,ANY
9Y-,VP-T,Trinidad and Tobago,1965-,,1,9Y,ANY
